Name,Retail_price,Description,Image,Reviews
Beyond Meat Plant-Based Meatballs x8 (200g),4,"['Plant-Based Meatballs Made with Pea Protein, Defrosted.']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/36/1230000068536/1230000068536_L.jpeg,5
Oxo Reduced Salt Vegetable Stock Cubes x12 71g,1,['12 Reduced Salt Vegetable Stock Cubes'],https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/23/5000354403323/5000354403323_L.jpeg,4.7963
Violife Vegan Festive Selection Blocks 4x100g,5,"['100% Vegan', 'Free from dairy, soya, lactose and nuts', 'Free from preservatives', 'Free from gluten', 'With Coconut Oil and Vitamin B12', 'Kosher', 'Suitable for Vegans & Vegetarians', ""It's the most wonderful time of the year!"", 'Combine the Violife Vegan Festive Selection with fun seasonal ingredients, cheerful shapes and holiday flavours and get the party started!', ""Epic Mature Cheddar Flavour + Mozzarella Flavour with Cranberries + Smoky Cheddar Flavour + Crumbly Greek White are here to elevate your holiday's gatherings, the Violife way!"", '100% Vegan, Enjoyed by Everyone!', 'Packaged in A Protective Atmosphere.', 'Vegan Society']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/79/5202390027079/5202390027079_L.jpeg,0
Future Farm Plant Based Chicken 160g,3.9,['Plant-Based Pieces Made from Soy Protein'],https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/05/7898678661905/7898678661905_L.jpeg,4.8571
This Isn't Pork Plant-Based Sausages 230g,3,['Plant-based sausages made from pea protein.'],https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/62/5060678710262/5060678710262_L.jpeg,4.25
Plant Pioneers No Chicken Buffalo Wings 225g,3,"['Coated and fried pieces made from wheat gluten, mushroom, coconut milk and natural flavourings with a sachet of buffalo sauce.', 'Seitan and mushroom wings in a crispy buffalo batter with buffalo sauce']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/86/0000000439886/0000000439886_L.jpeg,3
Plant Pioneers No Salmon Fillets x2 240g,4,"['2 Vegan slices of young jackfruit, king oyster mushroom and seaweed', 'Jackfruit and king oyster mushroom seasoned with a skin of seaweed']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/51/0000000434751/0000000434751_L.jpeg,5
White Rabbit The Vegan Gardener Pizza 340g,4.5,"['A gluten free pizza base with tomato sauce, sun-dried tomatoes, MozzaRisellaÂ® and kale.']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/25/5060456690625/5060456690625_L.jpeg,3.6552
Taste & Glory Meat Free Vegan Sausages x6 240g,2.75,['Seasoned Meat-Free Sausages made with Rehydrated Textured Soya and Wheat Protein'],https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/39/5057624659539/5057624659539_L.jpeg,4.2794
Cauldron Falafels 200g,2,"['Falafels made with chickpeas, onion and coriander']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/89/5013683305589/5013683305589_L.jpeg,3.6389
Kirsty's Luxury Apple Pie 322g,3,"['Gluten free dough base with apple filling (47%) and apple wedges (28%), dusted with sugar cinnamon.']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/82/5060558350182/5060558350182_L.jpeg,0
Beyond Meat Beyond Mince Plant-Based Mince 300g,5,"['Plant-Based Mince Made with Pea Protein, Defrosted.']",https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/22/1230000068222/1230000068222_L.jpeg,5
Birds Eye Green Cuisine Meat Free Burgers x2 200g,2.5,['Burgers formed from a blend of pea protein and herbs.'],https://www.sainsburys.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/productImages/18/5000116124718/5000116124718_L.jpeg,3.3529
